table_no,record_name,title,year,author_st,taxonomic_group_st,issue,latin_family_name,latin_name,copyright
1,floradanica_0001.tif,Rubus Chamaemorus Linn.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Rosaceae,Rubus chamaemorus L.,free
2,floradanica_0002.tif,Pedicularis lapponica L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Scrophulariaceae,Pedicularis lapponica L.,free
3,floradanica_0003.tif,Linnaea borealis (Gronov.) L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Caprifoliaceae,Linnaea borealis L. ssp. borealis,free
4,floradanica_0004.tif,Silene rupestris L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Caryophyllaceae,Silene rupestris L.,free
5,floradanica_0005.tif,Cornus suecica L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Cornaceae,Cornus suecica L.,free
6,floradanica_0006.tif,Cerastium alpinum L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Caryophyllaceae,Cerastium alpinum L. ssp. alpinum,free
7,floradanica_0007.tif,Androsace septentrionalis L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Primulaceae,Androsace septentrionale L.,free
8,floradanica_0008.tif,Pyrola uniflora L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Pyrolaceae,Moneses uniflora (L.) A.Gray,free
9,floradanica_0009.tif,Azalea procumbens L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Ericaceae,Loiseleuria procumbens (L.) Desv.,free
10,floradanica_0010.tif,Andromeda hypnoides L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Ericaceae,Cassiope hypnoides (L.) D. Don,free
11,floradanica_0011.tif,Thalictrum alpinum L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Ranunculaceae,Thalictrum alpinum L.,free
